timestamp,domain,event,path,sha256_before,sha256_after
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/independent-advisory-council/changelog.md,eb7d66771510a5e4ff4b54cf84faf1f114385bdcf5789753c7a27395657292aa,3b5dc64f7580205c7c2bcd37543e50e9c5900299fc0d1a59bddbe4741f0cf5d1
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/independent-advisory-council/current.html,4c29806b49984605034a1fdd9b656b25672396c8563d10e6c880c4afb3c5577b,b035ec378b35aaa692a052a5daabde3e003ea3f508309493923f6b1aa6018945
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/independent-advisory-council/metadata.json,e4118e7e771f1fab52db60e0717a1ae2cd1d65b79e5feeb4b3d32a55ad8242d7,2a7ef8d09f5de37e5bafdb4ed614c4ea08a24afcda36912df97896f927ac2af5
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/independent-advisory-council/site/changelog.md,1b28504b7f3d18fed719ad80f2d49497e74ff32546ad242297bbf70d963f8eac,1d807ef17f63d957c300a00c21f54690b1a03650ca52e396c11d3aed5bad9810
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/independent-advisory-council/site/current.html,66e41a4d62792213cc67d6b9daf1d153959bb004cf965e76e4a7f5601aa74d7e,54feffd40384ac27e8f742f5ea41b64b69c3f7013697af29eef7af176037a36e
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/independent-advisory-council/site/metadata.json,0ce9ad4160fe78c6cef0b4ac93e5f881dea3bad1df7026238d9ab61abe82358d,03196cf1cb0e565da148306c0925a24094f916ec5b4acafad827418b9473d926
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/reviewing-actuary/changelog.md,1c88f990218d4c00da27f25478819d3b1ccdcc365908f901e63984cec3669323,206b1612c8a41edbcb028828743a18c4ec4dd3ef3e00dbf9ee874c0a356d6fc7
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/reviewing-actuary/current.html,2c477c89fb0cb3df0752427484122aa4b76a9beb9240d04e7da02411fea8643f,5f7a7ddc8998e1bdebc01e6e3ea354789e9cbce242705d1faa9632b495daa06c
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/reviewing-actuary/metadata.json,028cdc2b110b838f8afd16be67d970c5778881e1dda1dbe2a878916575c6d921,09651e1faf8cfb3123804b7479c502e7525a1705310b4824b4018c1538999bc0
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/scheme-actuary/changelog.md,b5d784eeb22310540b180d4659b473e7f7c1dd0f6f9460adfbe6f1f9a11c5837,fa6fab48670aa82accc2fa9ae80071f68dac78b3c1af6eb56ac6ebf0ab753f40
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/scheme-actuary/current.html,2c477c89fb0cb3df0752427484122aa4b76a9beb9240d04e7da02411fea8643f,5f7a7ddc8998e1bdebc01e6e3ea354789e9cbce242705d1faa9632b495daa06c
2026-09-06T17:52:25Z,ndia,MODIFIED,archive/gov/ndia/scheme-actuary/metadata.json,02b404d79a284f0fd28df718563a0ae216337d8aee9f1d7e7d9779aee675d7ff,69788302782c746419dee02c3010017b188fc865fc7e3ba40b88f62f687fcfc8
